name1,name2
William R. Smith,Chaplin
William R. Smith,Charles A. Wheaton
William R. Smith,G. W. Clark
William R. Smith,Wm. R. Smith
William R. Smith,George W. Lawson
William R. Smith,Cyrus P. Grosvenor
William R. Smith,G. W. Johnson
William R. Smith,N. Y.
William R. Smith,Francis Jackson
William R. Smith,John G. Whittier
William R. Smith,Silas Cornell
William R. Smith,Thomas Davis
William R. Smith,C. D. Cleveland
William R. Smith,E. M. Davis
William R. Smith,C. C. Foote
William R. Smith,Hon J. R. Giddings
William R. Smith,G. W. Julian
William R. Smith,C. Durkee
William R. Smith,Wilson
William R. Smith,George W. Clark
William R. Smith,Edmonson
William R. Smith,Daniel Webster
William R. Smith,John Mclean
William R. Smith,Mclean
William R. Smith,Moses Stuart
William R. Smith,F. Julius Lemoyne
William R. Smith,William Goodell
William R. Smith,Smith
William R. Smith,Lemoyne
William R. Smith,Christ
William R. Smith,Wm. L. Chaplin
William R. Smith,Charles T. Torrey
William R. Smith,Drayton
William R. Smith,Sayre
William R. Smith,Harris
Eleazer Seymour,F. Rice
Eleazer Seymour,Phebe Hathaway
Eleazer Seymour,Louisa Burnett
Eleazer Seymour,Frederick Douglass
Eleazer Seymour,Francis Hawley
Eleazer Seymour,Chas
Eleazer Seymour,B. Ray
Eleazer Seymour,A. Wheaton
Eleazer Seymour,Charles D. Miller
Eleazer Seymour,Anne V. Adams
Eleazer Seymour,S. R. Ward
Eleazer Seymour,Goodell
Eleazer Seymour,H. Burleigh
Eleazer Seymour,Loguen
